X,Y,Country,Prov_Name,Pop,WindVel,GHI,SolarRestriction,TravelHours,NightLights,Elevation,Slope,LandCover,GridDistCurrent,GridDistPlan,SubstationDist,RoadDist,HydropowerFID,HydropowerDist,Hydropower,AgriDem
6943.816895,3427.003418,Afghanistan,Kandahar,113.4689331,4.190000057,2053.112305,1,10,0,624,1.30156076,16,175.7237701,175.7237701,339.1058044,73.29943085,664,76.79518127,501.832,312.3196319
6953.98877,3427.003418,Afghanistan,Kandahar,113.4689331,4.190000057,2065.54834,1,11,0,699,4.95277977,16,178.4335938,178.4335938,332.6366882,72.65618134,664,77.31243134,501.832,312.3196319
6964.160645,3427.003418,Afghanistan,Kandahar,113.4689331,4.190000057,2072.44873,1,15,0,735,0,16,181.6732941,181.6732941,326.3564148,72.46800232,664,79.14454651,501.832,312.3196319
6974.333008,3427.003418,Afghanistan,Kandahar,236.0496674,4.190000057,2075.520752,1,20,0,842,2.834550619,16,185.4151001,185.4151001,320.276123,71.69564056,664,82.20366669,501.832,649.719207
6984.504883,3427.003418,Afghanistan,Kandahar,343.3221741,4.190000057,2080.854248,1,23,0,826,5.859025002,16,189.629303,189.629303,314.4074097,71.57006836,663,83.35961914,456.471,944.9833722
6994.676758,3427.003418,Afghanistan,Kandahar,343.3221741,4.510000229,2088.821289,1,24,0,884,7.420003891,16,194.285141,194.285141,308.7623291,72.52985382,663,83.56176758,456.471,944.9833722
7004.848633,3427.003418,Afghanistan,Kandahar,343.3221741,4.510000229,2094.483154,1,25,0,909,0.203466162,16,199.3516998,199.3516998,303.353363,74.09454346,663,84.98969269,456.471,944.9833722
7015.020508,3427.003418,Afghanistan,Kandahar,343.3221741,4.510000229,2099.308105,1,25,0,965,0.606829941,16,204.7984772,204.7984772,298.1933899,76.89588165,663,87.58345795,456.471,944.9833722
7025.192383,3427.003418,Afghanistan,Kandahar,343.3221741,4.510000229,2101.605225,1,22,0,1050,16.43816757,16,210.5959778,210.5959778,293.2955322,80.88811493,663,91.24369049,456.471,944.9833722
7035.364258,3427.003418,Afghanistan,Kandahar,343.3221741,4.510000229,2118.764648,1,18,0,1138,1.287787199,16,216.7160645,216.7160645,288.6730957,85.90537262,662,95.08699036,433.322,944.9833722
7045.536133,3427.003418,Afghanistan,Kandahar,343.3221741,4.510000229,2133.277344,1,14,0,1306,1.821810365,16,223.1322021,223.1322021,284.3395691,91.76931,662,96.09060669,433.322,944.9833722
7055.708008,3427.003418,Afghanistan,Kandahar,343.3221741,4.510000229,2138.213623,1,10,0,1479,2.655155897,16,229.8195801,229.8195801,280.3083496,98.30304718,662,98.14382172,433.322,944.9833722
7065.879883,3427.003418,Afghanistan,Kandahar,326.1560669,4.510000229,2136.549316,1,9,0,1415,0.574350059,16,236.7552185,236.7552185,276.5926208,101.2525711,662,101.1827545,433.322,897.7342077
7076.051758,3427.003418,Afghanistan,Kandahar,305.2859192,4.510000229,2130.365723,1,9,0,1397,2.443235874,16,243.9179382,243.9179382,273.2052612,104.4514313,662,105.1219559,433.322,840.2897895
7086.223633,3427.003418,Afghanistan,Kandahar,315.8564148,4.510000229,2131.278564,1,10,0,1456,5.136716843,16,251.2883301,251.2883301,270.1586304,108.5129242,662,109.8646317,433.322,869.3847426
7096.395508,3427.003418,Afghanistan,Kandahar,234.2080078,4.510000229,2128.35376,1,11,0,1451,4.259233475,16,258.8486633,258.8486633,267.464386,113.3443604,662,115.3116837,433.322,644.6500975
7106.567383,3427.003418,Afghanistan,Kandahar,163.5071869,4.510000229,2128.486084,1,10,0,1420,2.812241316,16,265.1332703,265.1332703,265.1332703,118.8518753,662,121.368309,433.322,450.0483351
7116.739746,3427.003418,Afghanistan,Kandahar,163.1157837,4.510000229,2120.098145,1,9,0,1388,1.739209533,16,263.1748962,263.1748962,263.1748962,123.2377396,660,123.9178772,4824.02,448.9710102
7126.911621,3427.003418,Afghanistan,Kandahar,165.5946045,4.510000229,2115.700684,1,9,0,1408,0.592477977,16,261.5976868,261.5976868,261.5976868,125.1496124,660,124.5936432,4824.02,455.7938857
7137.083496,3427.003418,Afghanistan,Kandahar,167.0297089,4.510000229,2117.826416,1,11,0,1402,1.844386935,16,260.4085388,260.4085388,260.4085388,127.8446121,660,126.0890503,4824.02,459.7439649
7147.255371,3427.003418,Afghanistan,Kandahar,151.7355347,4.510000229,2118.707764,1,13,0,1434,1.336732388,16,259.6127625,259.6127625,259.6127625,131.2745209,660,128.3754425,4824.02,417.6472365
7157.427246,3427.003418,Afghanistan,Kandahar,90.1836319,4.510000229,2112.367432,1,14,0,1447,2.211501598,16,259.2140503,259.2140503,259.2140503,135.3834991,660,131.4115601,4824.02,248.2275804
7167.599121,3427.003418,Afghanistan,Kandahar,39.89926147,4.510000229,2116.148926,1,14,0,1615,8.074689865,16,259.2141418,259.2141418,259.2141418,140.1118011,660,135.1468658,4824.02,109.821449
7177.770996,3427.003418,Afghanistan,Kandahar,6.5031147,5.816197395,2093.748535,0,0,0,0,0,0,259.6131287,259.6131287,259.6131287,139.4700623,660,139.5252228,4824.02,17.89961652
7218.458496,3427.003418,Afghanistan,Kandahar,0.903024495,6.121096134,2112.476807,0,0,0,0,0,0,258.5152283,251.337204,263.1680298,99.44599152,660,162.3178864,4824.02,2.485546221
