Country,X,Y,Pop,GridDistCurrent,GridDistPlan,RoadDist,NightLights,TravelHours,GHI,WindVel,Hydropower,HydropowerDist,SubstationDist,LandCover,Elevation,Slope,SolarRestriction
Swaziland,3548.486328,-3142.875977,112.336937,42.84784698,41.15781403,0.788037717,15,2,1874,6,5291.879883,29.91168976,31.89005089,12,183,0.94506228,0
Swaziland,3549.486328,-3142.875977,41.15063477,42.49537277,40.83492279,0.326510429,17,2,1883,6,5291.879883,29.04376602,31.08948517,14,190,1.703387737,0
Swaziland,3550.486328,-3142.875977,26.57838249,42.1636734,40.53413773,1.032386065,13,2,1883,6,5291.879883,28.18459511,30.26675224,14,172,0.956800461,0
Swaziland,3551.486328,-3142.875977,13.63598251,41.85324097,40.25595474,1.915317178,9,3,1883,6,5291.879883,27.33500671,29.45499229,8,160,1.482828617,0
Swaziland,3552.486328,-3142.875977,4.404924393,41.56455994,40.00083923,2.87514925,6,3,1883,6,5291.879883,26.49591827,28.65513611,8,152,0.8518821,0
Swaziland,3553.486328,-3142.875977,4.404924393,41.29807663,39.76924133,3.855454206,6,3,1892,6,5291.879883,25.66836357,27.86820793,8,148,1.10309875,1
Swaziland,3554.486328,-3142.875977,0.30834496,41.05423355,39.56157303,4.843817711,0,3,1892,6,5291.879883,24.85349083,27.09533691,8,140,0,0
Swaziland,3555.486328,-3142.875977,0,40.83342361,39.37821198,5.836147308,0,3,1892,7,5291.879883,24.05259132,26.33775711,0,140,0,0
Swaziland,3556.486328,-3142.875977,0,40.63603592,39.21949768,6.830714226,0,3,1883,7,5291.879883,23.26710701,25.59683037,0,140,0,0
Swaziland,3557.486328,-3142.875977,4.404924393,40.46240234,39.08573151,7.826665878,0,3,1883,7,5291.879883,22.49865341,24.87404251,11,164,2.868269682,1
Swaziland,3558.486328,-3142.875977,4.280669212,40.31283569,38.97716904,8.823534012,0,3,1883,7,5291.879883,21.74903679,24.1710186,9,248,7.087590218,1
Swaziland,3559.486328,-3142.875977,8.00049305,40.187603,38.8940239,9.821038246,0,4,1883,7,5291.879883,21.02026939,23.48953819,4,724,6.594354153,1
Swaziland,3502.486328,-3141.875977,67.08764648,38.45963287,38.45963287,3.710780144,6,4,1918,6,2910.889893,15.40397072,32.41527939,8,685,12.55379772,0
Swaziland,3503.486328,-3141.875977,65.95194244,39.13779068,39.13779068,3.86774683,6,4,1935,6,2910.889893,15.73553658,33.41408539,8,601,1.137959242,0
Swaziland,3504.486328,-3141.875977,67.93941498,39.82951355,39.82951355,3.99606514,6,4,1935,6,2910.889893,16.1224041,34.41296387,8,771,16.53908348,0
Swaziland,3505.486328,-3141.875977,75.60858154,40.53410721,40.53410721,4.12438345,6,4,1935,6,2910.889893,16.56069946,35.41190338,8,768,16.93753624,0
Swaziland,3506.486328,-3141.875977,52.98968124,41.25090408,41.25090408,4.256472588,5,4,1935,6,2910.889893,17.04645348,36.41090012,9,693,12.19445229,0
Swaziland,3507.486328,-3141.875977,64.19001007,41.97929001,41.97929001,4.534782887,5,4,1918,6,2910.889893,17.57573318,37.40995407,14,759,2.747363567,1
Swaziland,3508.486328,-3141.875977,72.06300354,42.71866226,42.71866226,4.985705376,0,4,1918,6,2910.889893,18.14472961,38.4090538,14,622,3.14928627,0
Swaziland,3509.486328,-3141.875977,87.30133057,43.46846771,43.46846771,5.462831497,0,5,1918,6,2910.889893,18.74982643,39.40819931,8,731,16.20196342,0
Swaziland,3510.486328,-3141.875977,98.11180115,44.2281723,44.2281723,5.98593235,0,5,1900,6,2910.889893,19.38764572,40.40738678,9,574,15.19171524,0
Swaziland,3511.486328,-3141.875977,38.54011154,44.99727249,44.99727249,6.618082047,0,5,1900,5,2910.889893,20.05506516,41.40661621,9,529,5.393897533,0
Swaziland,3512.486328,-3141.875977,27.85848236,45.77529907,45.77529907,7.290634632,0,6,1900,5,2910.889893,20.74922752,42.40587997,9,477,6.841583729,1
Swaziland,3513.486328,-3141.875977,24.01682663,46.56180191,46.56180191,7.963186741,0,6,1900,5,2910.889893,21.46754074,43.40517807,9,439,1.272235274,1
Swaziland,3514.486328,-3141.875977,24.15026093,47.35636139,47.35636139,8.635739326,0,7,1892,5,2910.889893,22.20765877,44.40450668,8,491,13.53676033,0
Swaziland,3515.486328,-3141.875977,24.6949749,48.15857697,48.15857697,9.308292389,0,8,1892,5,2910.889893,22.96747589,45.40386581,9,362,3.004684925,0
Swaziland,3516.486328,-3141.875977,20.6079731,48.96807098,48.96807098,9.823021889,0,8,1892,5,2910.889893,23.74509811,46.40325546,8,316,2.571522951,0
Swaziland,3517.486328,-3141.875977,21.34384918,49.78448868,49.78448868,9.631223679,0,8,1892,5,2910.889893,24.53883743,47.402668,8,302,1.570515275,1
Swaziland,3518.486328,-3141.875977,0.173414797,50.60749817,50.60749817,8.965671539,0,7,1892,5,2910.889893,25.3471756,48.40210342,8,285,0.8518821,1
Swaziland,3519.486328,-3141.875977,0.173414797,51.43678284,50.33862686,8.103723526,0,7,1892,5,2910.889893,26.16876411,49.40156555,8,301,0.7471627,1
Swaziland,3520.486328,-3141.875977,0.173414797,52.27203751,49.98954391,7.277182102,0,6,1892,5,2910.889893,27.002388,50.40104675,9,309,1.609105825,0
Swaziland,3521.486328,-3141.875977,0.173414797,53.11298752,49.64046478,6.4995718,0,6,1892,5,2910.889893,27.84697151,49.68122864,8,320,2.554141283,0
Swaziland,3522.486328,-3141.875977,0.173414797,53.95936203,49.29138184,5.79063797,0,5,1900,5,2910.889893,28.70154381,48.89470291,8,325,1.373456717,1
Swaziland,3523.486328,-3141.875977,0.172146544,54.77128601,48.94229889,5.176221848,0,5,1900,5,2910.889893,29.56524086,48.11610794,9,335,2.177409649,1
Swaziland,3524.486328,-3141.875977,0.160724744,55.39757919,48.59321976,4.618450642,0,5,1900,5,2910.889893,30.43728447,47.3458252,8,322,1.913067579,1
